myanmar,mlcts,syllable_count,myanmar_syllables,mlcts_syllables
ကစီဓာတ်,ka.cidhat,3,က|စီ|ဓာတ်,ka.|ci|dhat
ကစော့ခါး,ka.cau.hka:,3,က|စော့|ခါး,ka.|cau.|hka:
ကစော်,ka.cau,2,က|စော်,ka.|cau
ကဆုန်,ka.hcun,2,က|ဆုန်,ka.|hcun
ကဆုန်ပေါက်,ka.hcunpauk,3,က|ဆုန်|ပေါက်,ka.|hcun|pauk
ကဇာတ်,ka.jat,2,က|ဇာတ်,ka.|jat
ကည,ka.nya.,2,က|ည,ka.|nya.
ကညင်,ka.nyang,2,က|ညင်,ka.|nyang
ကညင်ဆီ,ka.nyanghci,3,က|ညင်|ဆီ,ka.|nyang|hci
ကညင်ဆီတိုင်,ka.nyanghcituing,4,က|ညင်|ဆီ|တိုင်,ka.|nyang|hci|tuing
ကညစ်,ka.nyac,2,က|ညစ်,ka.|nyac
ကညာ,ka.nya,2,က|ညာ,ka.|nya
ကညာစစ်,ka.nyacac,3,က|ညာ|စစ်,ka.|nya|cac
ကညာမြှေး,ka.nyahmre:,3,က|ညာ|မြှေး,ka.|nya|hmre:
ကညို့,ka.nyui.,2,က|ညို့,ka.|nyui.
ကညွတ်,ka.nywat,2,က|ညွတ်,ka.|nywat
ကဏန်း,ka.nan:,2,က|ဏန်း,ka.|nan:
ကဏန်းမြင်း,ka.nan:mrang:,3,က|ဏန်း|မြင်း,ka.|nan:|mrang:
ကဏန်းလက်မ,ka.nan:lakma.,4,က|ဏန်း|လက်|မ,ka.|nan:|lak|ma.
ကတညုတ,ka.ta.nyu.ta.,4,က|တ|ညု|တ,ka.|ta.|nyu.|ta.
ကတင်,ka.tang,2,က|တင်,ka.|tang
ကတင်,ka.tang,2,က|တင်,ka.|tang
ကတည်းက,ka.tany:ka.,3,က|တည်း|က,ka.|tany:|ka.
ကတတ်ငန်း,ka.tatngan:,3,က|တတ်|ငန်း,ka.|tat|ngan:
ကတမ်းကရမ်း,ka.tam:ka.ram:,4,က|တမ်း|က|ရမ်း,ka.|tam:|ka.|ram:
ကတိ,ka.ti.,2,က|တိ,ka.|ti.
ကတိကဝတ်,ka.ti.ka.wat,4,က|တိ|က|ဝတ်,ka.|ti.|ka.|wat
ကတိခံဝန်ချက်,ka.ti.hkamwanhkyak,5,က|တိ|ခံ|ဝန်|ချက်,ka.|ti.|hkam|wan|hkyak
ကတိခံဝန်ချုပ်,ka.ti.hkamwanhkyup,5,က|တိ|ခံ|ဝန်|ချုပ်,ka.|ti.|hkam|wan|hkyup
ကတိစာချုပ်,ka.ti.cahkyup,4,က|တိ|စာ|ချုပ်,ka.|ti.|ca|hkyup
ကတိတည်,ka.ti.tany,3,က|တိ|တည်,ka.|ti.|tany
ကတိထား,ka.ti.hta:,3,က|တိ|ထား,ka.|ti.|hta:
ကတိပေး,ka.ti.pe:,3,က|တိ|ပေး,ka.|ti.|pe:
ကတိပျက်,ka.ti.pyak,3,က|တိ|ပျက်,ka.|ti.|pyak
ကတိပြု,ka.ti.pru.,3,က|တိ|ပြု,ka.|ti.|pru.
ကတိဖျက်,ka.ti.hpyak,3,က|တိ|ဖျက်,ka.|ti.|hpyak
ကတိသစ္စာပြု,ka.ti.sa.capru.,5,က|တိ|သစ်|စာ|ပြု,ka.|ti.|sac|ca|pru.
ကတိသစ္စာပြုပွဲ,ka.ti.sa.capru.pwai:,6,က|တိ|သစ်|စာ|ပြု|ပွဲ,ka.|ti.|sac|ca|pru.|pwai:
ကတိမ်းကပါးဖြစ်,ka.tim:ka.pa:hprac,5,က|တိမ်း|က|ပါး|ဖြစ်,ka.|tim:|ka.|pa:|hprac
ကတိမ်းကယိမ်း,ka.tim:ka.yim:,4,က|တိမ်း|က|ယိမ်း,ka.|tim:|ka.|yim:
ကတိုက်ကရိုက်,ka.tuikka.ruik,4,က|တိုက်|က|ရိုက်,ka.|tuik|ka.|ruik
ကတိုး,ka.tui:,2,က|တိုး,ka.|tui:
ကတိုးခွာ,ka.tui:hkwa,3,က|တိုး|ခွာ,ka.|tui:|hkwa
ကတုတ်,ka.tut,2,က|တုတ်,ka.|tut
ကတုတ်ကျင်း,ka.tutkyang:,3,က|တုတ်|ကျင်း,ka.|tut|kyang:
ကတုန်ကယင်,ka.tunka.yang,4,က|တုန်|က|ယင်,ka.|tun|ka.|yang
ကတုန်းကတိုက်လုပ်,ka.tun:ka.tuiklup,5,က|တုန်း|က|တိုက်|လုပ်,ka.|tun:|ka.|tuik|lup
ကတူး,ka.tu:,2,က|တူး,ka.|tu:
ကတောကမျော,ka.tau:ka.myau:,4,က|တော|က|မျော,ka.|tau:|ka.|myau:
ကတောက်,ka.tauk,2,က|တောက်,ka.|tauk
ကတောက်ကဆတ်ဖြစ်,ka.taukka.hcathprac,5,က|တောက်|က|ဆတ်|ဖြစ်,ka.|tauk|ka.|hcat|hprac
ကတောက်ကတက်ဖြစ်,ka.taukka.takhprac,5,က|တောက်|က|တက်|ဖြစ်,ka.|tauk|ka.|tak|hprac
ကတောက်စပ်,ka.taukcap,3,က|တောက်|စပ်,ka.|tauk|cap
ကတောင်ချောက်ချားဖြစ်,ka.taunghkyaukhkya:hprac,5,က|တောင်|ချောက်|ချား|ဖြစ်,ka.|taung|hkyauk|hkya:|hprac
ကတော့,ka.tau.,2,က|တော့,ka.|tau.
ကတော့ပုံ,ka.tau.pum,3,က|တော့|ပုံ,ka.|tau.|pum
ကတော်,ka.tau,2,က|တော်,ka.|tau
ကတွတ်,ka.twat,2,က|တွတ်,ka.|twat
ကတွတ်မုန့်,ka.twatmun.,3,က|တွတ်|မုန့်,ka.|twat|mun.
ကထိက,ka.hti.ka.,3,က|ထိ|က,ka.|hti.|ka.
ကထိန်,ka.htin,2,က|ထိန်,ka.|htin
ကဒတ်,ka.dat,2,က|ဒတ်,ka.|dat
ကဒူဥ,ka.duu.,3,က|ဒူ|ဥ,ka.|du|u.
ကနကုတ်,ka.na.kut,3,က|န|ကုတ်,ka.|na.|kut
ကနခို,ka.na.hkui,3,က|န|ခို,ka.|na.|hkui
ကနစို,ka.na.cui,3,က|န|စို,ka.|na.|cui
ကနစိုး,ka.na.cui:,3,က|န|စိုး,ka.|na.|cui:
ကနဦး,ka.na.,3,က|န|ဦး,ka.|na.|u
ကနက္ကဒဏ်,ka.na.ka.dak,4,က|နက်|က|ဒဏ်,ka.|nak|ka.|dak
ကနန်း,ka.nan:,2,က|နန်း,ka.|nan:
ကနား,ka.na:,2,က|နား,ka.|na:
ကနားဖျင်း,ka.na:hpyang:,3,က|နား|ဖျင်း,ka.|na:|hpyang:
ကနုကမာ,ka.nu.ka.ma,4,က|နု|က|မာ,ka.|nu.|ka.|ma
ကနုတံ,ka.nu.tam,3,က|နု|တံ,ka.|nu.|tam
ကနုတ်,ka.nut,2,က|နုတ်,ka.|nut
ကနုတ်ပန်း,ka.nutpan:,3,က|နုတ်|ပန်း,ka.|nut|pan:
ကနေ့,ka.ne.,2,က|နေ့,ka.|ne.
ကနွဲ့ကလျပြော,ka.nwai.ka.lya.prau:,5,က|နွဲ့|က|လျ|ပြော,ka.|nwai.|ka.|lya.|prau:
ကနွဲ့ကလျပြော,ka.nwai.ka.lya.prau:,5,က|နွဲ့|က|လျ|ပြော,ka.|nwai.|ka.|lya.|prau:
ကနွဲ့ကလျလုပ်,ka.nwai.ka.lya.lup,5,က|နွဲ့|က|လျ|လုပ်,ka.|nwai.|ka.|lya.|lup
ကနွဲ့ကလျလုပ်,ka.nwai.ka.lya.lup,5,က|နွဲ့|က|လျ|လုပ်,ka.|nwai.|ka.|lya.|lup
ကပက်ကစက်,ka.pakka.cak,4,က|ပက်|က|စက်,ka.|pak|ka.|cak
ကပိုကရို,ka.puika.rui,4,က|ပို|က|ရို,ka.|pui|ka.|rui
ကပိုင်,ka.puing,2,က|ပိုင်,ka.|puing
ကပီ,ka.pi,2,က|ပီ,ka.|pi
ကပေါက်ကရောက်,ka.paukka.rauk,4,က|ပေါက်|က|ရောက်,ka.|pauk|ka.|rauk
ကပေါက်ချိကပေါက်ချာ,ka.paukhkyi.ka.paukhkya,6,က|ပေါက်|ချိ|က|ပေါက်|ချာ,ka.|pauk|hkyi.|ka.|pauk|hkya
ကပေါက်တိကပေါက်ချာ,ka.paukti.ka.paukhkya,6,က|ပေါက်|တိ|က|ပေါက်|ချာ,ka.|pauk|ti.|ka.|pauk|hkya
ကပျစ်ကညစ်,ka.pyacka.nyac,4,က|ပျစ်|က|ညစ်,ka.|pyac|ka.|nyac
ကပျာကယာ,ka.pyaka.ya,4,က|ပျာ|က|ယာ,ka.|pya|ka.|ya
ကပျာကသီ,ka.pyaka.si,4,က|ပျာ|က|သီ,ka.|pya|ka.|si
ကပြက်ကချော်,ka.prakka.hkyau,4,က|ပြက်|က|ချော်,ka.|prak|ka.|hkyau
ကပြင်,ka.prang,2,က|ပြင်,ka.|prang
ကပြား,ka.pra:,2,က|ပြား,ka.|pra:
ကပြောင်းကပြန်,ka.praung:ka.pran,4,က|ပြောင်း|က|ပြန်,ka.|praung:|ka.|pran
ကပြောင်းကပြန်ဖြစ်,ka.praung:ka.pranhprac,5,က|ပြောင်း|က|ပြန်|ဖြစ်,ka.|praung:|ka.|pran|hprac
ကပွဲ,ka.pwai:,2,က|ပွဲ,ka.|pwai:
ကပွဲရုံ,ka.pwai:rum,3,က|ပွဲ|ရုံ,ka.|pwai:|rum
ကဖီး,ka.hpi:,2,က|ဖီး,ka.|hpi:
ကဖျက်ယဖျက်,ka.hpyakya.hpyak,4,က|ဖျက်|ယ|ဖျက်,ka.|hpyak|ya.|hpyak
ကဗျာ,ka.bya,2,က|ဗျာ,ka.|bya
ကဗျာစပ်,ka.byacap,3,က|ဗျာ|စပ်,ka.|bya|cap
ကဗျာဆရာ,ka.byahca.ra,4,က|ဗျာ|ဆ|ရာ,ka.|bya|hca.|ra
ကဗျာဆန်,ka.byahcan,3,က|ဗျာ|ဆန်,ka.|bya|hcan
ကဗျာလွတ်,ka.byalwat,3,က|ဗျာ|လွတ်,ka.|bya|lwat
ကဗွီး,ka.bwi:,2,က|ဗွီး,ka.|bwi:
ကဘီလူး,ka.bhilu:,3,က|ဘီ|လူး,ka.|bhi|lu:
ကဘုန်းသား,ka.bhun:sa:,3,က|ဘုန်း|သား,ka.|bhun:|sa:
ကမကထလုပ်,ka.ma.ka.hta.lup,5,က|မ|က|ထ|လုပ်,ka.|ma.|ka.|hta.|lup
ကမချ,ka.ma.hkya.,3,က|မ|ချ,ka.|ma.|hkya.
ကမန်းကတန်း,ka.man:ka.tan:,4,က|မန်း|က|တန်း,ka.|man:|ka.|tan:
ကမာ,ka.ma,2,က|မာ,ka.|ma
ကမာကျီ,ka.makyi,3,က|မာ|ကျီ,ka.|ma|kyi
ကမူ,ka.mu,2,က|မူ,ka.|mu
ကမူးရှူးထိုး,ka.mu:hru:htui:,4,က|မူး|ရှူး|ထိုး,ka.|mu:|hru:|htui:
ကမောက်ကမ,ka.maukka.ma.,4,က|မောက်|က|မ,ka.|mauk|ka.|ma.
ကမျဉ်းနီ,ka.myany:ni,3,က|မျဉ်း|နီ,ka.|myany:|ni
ကမျောသောပါး,ka.myau:sau:pa:,4,က|မျော|သော|ပါး,ka.|myau:|sau:|pa:
ကမြင်း,ka.mrang:,2,က|မြင်း,ka.|mrang:
ကမြင်းကြောဆွဲ,ka.mrang:krau:hcwai:,4,က|မြင်း|ကြော|ဆွဲ,ka.|mrang:|krau:|hcwai:
ကမြင်းကြောထ,ka.mrang:krau:hta.,4,က|မြင်း|ကြော|ထ,ka.|mrang:|krau:|hta.
ကမြင်းမ,ka.mrang:ma.,3,က|မြင်း|မ,ka.|mrang:|ma.
ကမြော့,ka.mrau.,2,က|မြော့,ka.|mrau.
ကယား,ka.ya:,2,က|ယား,ka.|ya:
ကယီ,ka.yi,2,က|ယီ,ka.|yi
ကယုကယ,ka.yu.ka.ya.,4,က|ယု|က|ယ,ka.|yu.|ka.|ya.
ကယော,ka.yau:,2,က|ယော,ka.|yau:
ကယောက်ကယက်,ka.yaukka.yak,4,က|ယောက်|က|ယက်,ka.|yauk|ka.|yak
ကယောင်ကတမ်း,ka.yaungka.tam:,4,က|ယောင်|က|တမ်း,ka.|yaung|ka.|tam:
ကယောင်ချောက်ချား,ka.yaunghkyaukhkya:,4,က|ယောင်|ချောက်|ချား,ka.|yaung|hkyauk|hkya:
ကရကဋ်,ka.ra.kak,3,က|ရ|ကဋ်,ka.|ra.|kak
ကရကတ်,ka.ra.kat,3,က|ရ|ကတ်,ka.|ra.|kat
ကရကွက်,ka.ra.kwak,3,က|ရ|ကွက်,ka.|ra.|kwak
ကရနို့,ka.ra.nui.,3,က|ရ|နို့,ka.|ra.|nui.
ကရနို့,ka.ra.nui.,3,က|ရ|နို့,ka.|ra.|nui.
ကရမက်,ka.ra.mak,3,က|ရ|မက်,ka.|ra.|mak
ကရမက်,ka.ra.mak,3,က|ရ|မက်,ka.|ra.|mak
ကရဝိက်,ka.ra.wi.,3,က|ရ|ဝိက်,ka.|ra.|wi.
ကရဝိက်ဖောင်,ka.ra.wi.hpaung,4,က|ရ|ဝိက်|ဖောင်,ka.|ra.|wi.|hpaung
ကရဝေး,ka.ra.we:,3,က|ရ|ဝေး,ka.|ra.|we:
ကရဝေး,ka.ra.we:,3,က|ရ|ဝေး,ka.|ra.|we:
ကရဝေးရွက်,ka.ra.we:rwak,4,က|ရ|ဝေး|ရွက်,ka.|ra.|we:|rwak
ကရဝေးရွက်,ka.ra.we:rwak,4,က|ရ|ဝေး|ရွက်,ka.|ra.|we:|rwak
ကရက်,ka.rak,2,က|ရက်,ka.|rak
ကရင်,ka.rang,2,က|ရင်,ka.|rang
ကရင်ဝါး,ka.rangwa:,3,က|ရင်|ဝါး,ka.|rang|wa:
ကရင်ဩသံ,ka.rangau:sam,4,က|ရင်|ဩ|သံ,ka.|rang|au:|sam
ကရာ,ka.ra,2,က|ရာ,ka.|ra
ကရာတေး,ka.rate:,3,က|ရာ|တေး,ka.|ra|te:
ကရား,ka.ra:,2,က|ရား,ka.|ra:
ကရား,ka.ra:,2,က|ရား,ka.|ra:
ကရားရေပိတ်စကား,ka.ra:repitca.ka:,6,က|ရား|ရေ|ပိတ်|စ|ကား,ka.|ra:|re|pit|ca.|ka:
ကရားရေလွှတ်ပြော,ka.ra:rehlwatprau:,5,က|ရား|ရေ|လွှတ်|ပြော,ka.|ra:|re|hlwat|prau:
ကရိကထ,ka.ri.ka.hta.,4,က|ရိ|က|ထ,ka.|ri.|ka.|hta.
ကရိကထခံ,ka.ri.ka.hta.hkam,5,က|ရိ|က|ထ|ခံ,ka.|ri.|ka.|hta.|hkam
ကရိကထများ,ka.ri.ka.hta.mya:,5,က|ရိ|က|ထ|များ,ka.|ri.|ka.|hta.|mya:
ကရိန်း,ka.rin:,2,က|ရိန်း,ka.|rin:
ကရိုဏ်း,ka.run,2,က|ရိုဏ်း,ka.|run
ကရုဏာ,ka.ru.na,3,က|ရု|ဏာ,ka.|ru.|na
ကရုဏာ,ka.ru.na,3,က|ရု|ဏာ,ka.|ru.|na
ကရုဏာကြေး,ka.ru.nakre:,4,က|ရု|ဏာ|ကြေး,ka.|ru.|na|kre:
ကရုဏာဒေါသော,ka.ru.nadau:sau:,5,က|ရု|ဏာ|ဒေါ|သော,ka.|ru.|na|dau:|sau:
ကရုဏာရသ,ka.ru.nara.sa.,5,က|ရု|ဏာ|ရ|သ,ka.|ru.|na|ra.|sa.
ကရုဏာသက်,ka.ru.nasak,4,က|ရု|ဏာ|သက်,ka.|ru.|na|sak
ကရူဇာ,ka.ruja,3,က|ရူ|ဇာ,ka.|ru|ja
ကရောသောပါး,ka.rau:sau:pa:,4,က|ရော|သော|ပါး,ka.|rau:|sau:|pa:
ကရော့,ka.rau.,2,က|ရော့,ka.|rau.
ကရော်ကမည်,ka.rauka.many,4,က|ရော်|က|မည်,ka.|rau|ka.|many
ကရွတ်,ka.rwat,2,က|ရွတ်,ka.|rwat
ကရွတ်ကင်းလျှောက်,ka.rwatkang:hlyauk,4,က|ရွတ်|ကင်း|လျှောက်,ka.|rwat|kang:|hlyauk
ကလတက်,ka.la.tak,3,က|လ|တက်,ka.|la.|tak
ကလနား,ka.la.na:,3,က|လ|နား,ka.|la.|na:
ကလနံ,ka.la.nam,3,က|လ|နံ,ka.|la.|nam
ကလမောင်း,ka.la.maung:,3,က|လ|မောင်း,ka.|la.|maung:
ကလလရည်ကြည်,ka.la.la.ranykrany,5,က|လ|လ|ရည်|ကြည်,ka.|la.|la.|rany|krany
ကလအော်,ka.la.au,3,က|လ|အော်,ka.|la.|au
ကလက်,ka.lak,2,က|လက်,ka.|lak
ကလက်တက်တက်,ka.laktaktak,4,က|လက်|တက်|တက်,ka.|lak|tak|tak
ကလစ်,ka.lac,2,က|လစ်,ka.|lac
ကလန်,ka.lan,2,က|လန်,ka.|lan
ကလန်ကဆန်,ka.lanka.hcan,4,က|လန်|က|ဆန်,ka.|lan|ka.|hcan
ကလန်ကဆန်ပြော,ka.lanka.hcanprau:,5,က|လန်|က|ဆန်|ပြော,ka.|lan|ka.|hcan|prau:
ကလန်ကလား,ka.lanka.la:,4,က|လန်|က|လား,ka.|lan|ka.|la:
ကလပ်,ka.lap,2,က|လပ်,ka.|lap
ကလပ်ကြိုး,ka.lapkrui:,3,က|လပ်|ကြိုး,ka.|lap|krui:
ကလပ်ကြီးကြိုး,ka.lapkri:krui:,4,က|လပ်|ကြီး|ကြိုး,ka.|lap|kri:|krui:
ကလပ်ငယ်ကြိုး,ka.lapngaikrui:,4,က|လပ်|ငယ်|ကြိုး,ka.|lap|ngai|krui:
ကလယ်ကလယ်ဖြစ်,ka.laika.laihprac,5,က|လယ်|က|လယ်|ဖြစ်,ka.|lai|ka.|lai|hprac
ကလာပ်စည်း,ka.lapcany:,3,က|လာပ်|စည်း,ka.|lap|cany:
ကလိ,ka.li.,2,က|လိ,ka.|li.
ကလိထိုး,ka.li.htui:,3,က|လိ|ထိုး,ka.|li.|htui:
ကလိယုဂ်,ka.li.yu.,3,က|လိ|ယုဂ်,ka.|li.|yu.
ကလိန်းကလက်,ka.lin:ka.lak,4,က|လိန်း|က|လက်,ka.|lin:|ka.|lak
ကလိမ်,ka.lim,2,က|လိမ်,ka.|lim
ကလိမ်ကလည်လုပ်,ka.limka.lanylup,5,က|လိမ်|က|လည်|လုပ်,ka.|lim|ka.|lany|lup
ကလိမ်ကျ,ka.limkya.,3,က|လိမ်|ကျ,ka.|lim|kya.
ကလိမ်ချုံ,ka.limhkyum,3,က|လိမ်|ချုံ,ka.|lim|hkyum
ကလိမ်စေ့ငြမ်းဆင်,ka.limce.ngram:hcang,5,က|လိမ်|စေ့|ငြမ်း|ဆင်,ka.|lim|ce.|ngram:|hcang
ကလိမ်စေ့ငြမ်းဆင်,ka.limce.ngram:hcang,5,က|လိမ်|စေ့|ငြမ်း|ဆင်,ka.|lim|ce.|ngram:|hcang
ကလိမ်ဉာဏ်,ka.limnyak,3,က|လိမ်|ဉာဏ်,ka.|lim|nyak
ကလိုင်,ka.luing,2,က|လိုင်,ka.|luing
ကလီကမာလုပ်,ka.lika.malup,5,က|လီ|က|မာ|လုပ်,ka.|li|ka.|ma|lup
ကလီစာ,ka.lica,3,က|လီ|စာ,ka.|li|ca
ကလေကချေ,ka.leka.hkye,4,က|လေ|က|ချေ,ka.|le|ka.|hkye
ကလေကလွင့်,ka.leka.lwang.,4,က|လေ|က|လွင့်,ka.|le|ka.|lwang.
ကလေကဝ,ka.leka.wa.,4,က|လေ|က|ဝ,ka.|le|ka.|wa.
ကလောင်,ka.laung,2,က|လောင်,ka.|laung
ကလောင်တံ,ka.laungtam,3,က|လောင်|တံ,ka.|laung|tam
ကလောင်နာမည်,ka.laungnamany,4,က|လောင်|နာ|မည်,ka.|laung|na|many
ကလောင်ရှင်,ka.launghrang,3,က|လောင်|ရှင်,ka.|laung|hrang
ကလောင်သွား,ka.laungswa:,3,က|လောင်|သွား,ka.|laung|swa:
ကလော်,ka.lau,2,က|လော်,ka.|lau
ကလော်ဆဲ,ka.lauhcai:,3,က|လော်|ဆဲ,ka.|lau|hcai:
ကလော်တုတ်,ka.lautut,3,က|လော်|တုတ်,ka.|lau|tut
ကလေး,ka.le:,2,က|လေး,ka.|le:
ကလေး,ka.le:,2,က|လေး,ka.|le:
ကလေးကလား,ka.le:ka.la:,4,က|လေး|က|လား,ka.|le:|ka.|la:
ကလေးစာပေ,ka.le:cape,4,က|လေး|စာ|ပေ,ka.|le:|ca|pe
ကလေးစိတ်,ka.le:cit,3,က|လေး|စိတ်,ka.|le:|cit
ကလေးပျက်,ka.le:pyak,3,က|လေး|ပျက်,ka.|le:|pyak
ကလေးဖျက်,ka.le:hpyak,3,က|လေး|ဖျက်,ka.|le:|hpyak
ကလေးရှိ,ka.le:hri.,3,က|လေး|ရှိ,ka.|le:|hri.
ကလေးလက်တွန်းလှည်း,ka.le:laktwan:hlany:,5,က|လေး|လက်|တွန်း|လှည်း,ka.|le:|lak|twan:|hlany:
ကလေးသူငယ်,ka.le:sungai,4,က|လေး|သူ|ငယ်,ka.|le:|su|ngai
ကလဲ့,ka.lai.,2,က|လဲ့,ka.|lai.
ကလဲ့စားချေ,ka.lai.ca:hkye,4,က|လဲ့|စား|ချေ,ka.|lai.|ca:|hkye
ကလျာ,ka.lya,2,က|လျာ,ka.|lya
ကလွန်တောင်,ka.lwantaung,3,က|လွန်|တောင်,ka.|lwan|taung
ကဝိ,ka.wi.,2,က|ဝိ,ka.|wi.
ကဝိန်,ka.win,2,က|ဝိန်,ka.|win
ကဝေ,ka.we,2,က|ဝေ,ka.|we
ကသပေါင်း,ka.sa.paung:,3,က|သ|ပေါင်း,ka.|sa.|paung:
ကသဖိုး,ka.sa.hpui:,3,က|သ|ဖိုး,ka.|sa.|hpui:
ကသစ်,ka.sac,2,က|သစ်,ka.|sac
ကသည်း,ka.sany:,2,က|သည်း,ka.|sany:
ကသယ်,ka.sai,2,က|သယ်,ka.|sai
ကသိကအောက်ဖြစ်,ka.si.ka.aukhprac,5,က|သိ|က|အောက်|ဖြစ်,ka.|si.|ka.|auk|hprac
ကသိုဏ်း,ka.sun,2,က|သိုဏ်း,ka.|sun
ကသိုဏ်းရှု,ka.sunhru.,3,က|သိုဏ်း|ရှု,ka.|sun|hru.
ကသိုဏ်းဝန်း,ka.sunwan:,3,က|သိုဏ်း|ဝန်း,ka.|sun|wan:
ကသီ,ka.si,2,က|သီ,ka.|si
ကသီကရီ,ka.sika.ri,4,က|သီ|က|ရီ,ka.|si|ka.|ri
ကသီလင်တ,ka.silangta.,4,က|သီ|လင်|တ,ka.|si|lang|ta.
ကသုတ်ကရက်,ka.sutka.rak,4,က|သုတ်|က|ရက်,ka.|sut|ka.|rak
ကသောကမျော,ka.sau:ka.myau:,4,က|သော|က|မျော,ka.|sau:|ka.|myau:
ကသောင်းကနင်း,ka.saung:ka.nang:,4,က|သောင်း|က|နင်း,ka.|saung:|ka.|nang:
ကသောင်းမြောင်တိုက်,ka.saung:mraungtuik,4,က|သောင်း|မြောင်|တိုက်,ka.|saung:|mraung|tuik
ကဿပ,ka.sa.pa.,3,က|ဿ|ပ,ka.|sa.|pa.
ကဿပ,ka.sa.pa.,3,က|ဿ|ပ,ka.|sa.|pa.
ကက္ကရာ,ka.ka.ra,3,ကက်|က|ရာ,kak|ka.|ra
ကက္ကရု,ka.ka.ru.,3,ကက်|က|ရု,kak|ka.|ru.
ကက်ကက်လန်,kakkaklan,3,ကက်|ကက်|လန်,kak|kak|lan
ကက်ကင်းဓာတ်,kakkang:dhat,3,ကက်|ကင်း|ဓာတ်,kak|kang:|dhat
ကက္ကုကမျဉ်း,ka.ku.ka.myany:,4,ကက်|ကု|က|မျဉ်း,kak|ku.|ka.|myany:
ကက္ကုဆူး,ka.ku.hcu:,3,ကက်|ကု|ဆူး,kak|ku.|hcu:
ကက္ကုဆူး,ka.ku.hcu:,3,ကက်|ကု|ဆူး,kak|ku.|hcu:
ကက်ကော်တကန်,kakkauta.kan,4,ကက်|ကော်|တ|ကန်,kak|kau|ta.|kan
ကက်ဆက်,kakhcak,2,ကက်|ဆက်,kak|hcak
ကက်ဆွဲ,kakhcwai:,2,ကက်|ဆွဲ,kak|hcwai:
ကက်တလောက်,kakta.lauk,3,ကက်|တ|လောက်,kak|ta.|lauk
ကက်ပတိန်,kakpa.tin,3,ကက်|ပ|တိန်,kak|pa.|tin
ကက်ပေါင်,kakpaung,2,ကက်|ပေါင်,kak|paung
ကက်ဗိနက်,kakbi.nak,3,ကက်|ဗိ|နက်,kak|bi.|nak
ကက်ရိုက်,kakruik,2,ကက်|ရိုက်,kak|ruik
ကက်သလစ်,kaksa.lac,3,ကက်|သ|လစ်,kak|sa.|lac
ကက်အိမ်,kakim,2,ကက်|အိမ်,kak|im
ကင်္ကာ,kangka,2,ကင်|ကာ,kang|ka
ကင်ဆာ,kanghca,2,ကင်|ဆာ,kang|hca
ကင်ညှပ်,kanghnyap,2,ကင်|ညှပ်,kang|hnyap
ကင်ပလင်း,kangpa.lang:,3,ကင်|ပ|လင်း,kang|pa.|lang:
ကင်ပိမ့်,kangpim.,2,ကင်|ပိမ့်,kang|pim.
ကင်ပေတိုင်,kangpetuing,3,ကင်|ပေ|တိုင်,kang|pe|tuing
